<Nv> :	16.7524
<dNv2> :	4.2589
7	-13.580924	-12.809332
8	-10.947430	-10.636851
9	-8.872322	-8.699173
10	-7.134028	-6.996298
11	-5.595955	-5.528225
12	-4.311204	-4.294955
13	-3.294525	-3.296487
14	-2.524151	-2.532822
15	-1.997476	-2.003960
16	-1.706990	-1.709900
17	-1.653351	-1.650643
18	-1.833388	-1.826188
19	-2.241725	-2.236536
20	-2.879645	-2.881686
21	-3.752032	-3.761640
22	-4.844735	-4.876395
23	-6.182674	-6.225954
24	-7.774655	-7.810314
25	-9.582350	-9.629478
26	-11.549970	-11.683444
27	-13.468984	-13.972213
